,tegs,headline,date
418,наука конференции РЦИО ,О практиках комплексной реабилитации и абилитации говорили на международной...,26АВГ 2022
419,спорт анонс РЦИО ,РЦИО ЗабГУ приглашает читинцев на «Inclusive Fest»,25АВГ 2022
420,конкурс интересное ,"Диплом финалиста «Народной премии ""Чита.Ру""» вручили ректору ЗабГУ",24АВГ 2022
421,образование сотрудничество ,Более 60 иностранцев поступили в ЗабГУ,24АВГ 2022
422,образование сотрудничество ,Вузы Забайкалья объединятся в консорциум для реализации социально ориентированных...,22АВГ 2022
423,поздравляем ,22 августа – День Государственного флага Российской Федерации,22АВГ 2022
424,студенты поздравляем ,Студенты ЗабГУ – стипендиаты Правительства Российской Федерации,19АВГ 2022
425,поздравляем важное ,ЗабГУ вошёл в топ-100 «Народной премии» Чита.Ру,19АВГ 2022
426,поздравляем ,18 августа – День географа,18АВГ 2022
427,наука интересное ,От учителя к учёному: в России стартовали конкурсы для молодых специалистов,17АВГ 2022
428,наука объявление ,На конференции в ЗабГУ представят исследования в области науки и образования,16АВГ 2022
429,поздравляем ,Профессор ЗабГУ Татьяна Бейдина празднует 70-летие,16АВГ 2022
430,поздравляем ,14 августа празднуется День строителя,13АВГ 2022
431,поздравляем ,13 августа – День физкультурника,13АВГ 2022
432,важное ,Для защиты от ковида – прививайся!,11АВГ 2022
433,важное абитуриенту ,В ЗабГУ объявлен дополнительный набор на бюджетные места ,11АВГ 2022
434,ОСО интересное Росмолодежь ,Председатель ОСО ЗабГУ выступила куратором на «Территории смыслов»,8АВГ 2022
435,студенты наука интересное ,Молодые учёные ЗабГУ создадут комплекс по анализу экосистемы озёр,5АВГ 2022
436,интересное РЦИО ,Представители ЗабГУ научили читинцев играть в настольные спортивные игры,4АВГ 2022
437,интересное МинобрРФ ,Разработан перечень олимпиад для школьников на следующий учебный год,4АВГ 2022
438,поздравляем ,Профессору ЗабГУ Юрию Субботину - 75 лет,2АВГ 2022
439,интересное ,Лицеистка ЗабГУ вернулась с экспедиции на Северный полюс,1АВГ 2022
440,интересное абитуриенту ,В ЗабГУ вышли первые приказы о зачислении в списки студентов-очников,29ИЮЛ 2022
441,поздравляем ,Поздравляем с днём PR-специалиста!,28ИЮЛ 2022
442,объявление ,Студентов и преподавателей ЗабГУ приглашают пройти опрос о качестве образования,27ИЮЛ 2022
443,наука сотрудничество МинобрРФ ,Молодой учёный из Перми посетил ЗабГУ по программе студтуризма,26ИЮЛ 2022
444,наука важное ,В ЗабГУ привлекут «гражданских учёных» для исследовательской работы,22ИЮЛ 2022
445,образование поздравляем ,Многопрофильный лицей ЗабГУ – лидер по количеству стобалльников ЕГЭ 2022 года,21ИЮЛ 2022
446,студенты интересное ,Студенты ЗабГУ вернулись с поисковой смены «Вахта памяти. Ржев – Дальний Восток»,20ИЮЛ 2022
